日期,牌價幣別,商品重量,本行買入價格,本行賣出價格
20220103,新台幣(TWD),1公克,1615.000,1636.000
20211230,新台幣(TWD),1公克,1587.000,1608.000
20211229,新台幣(TWD),1公克,1593.000,1614.000
20211228,新台幣(TWD),1公克,1603.000,1624.000
20211227,新台幣(TWD),1公克,1597.000,1618.000
20211224,新台幣(TWD),1公克,1600.000,1621.000
20211223,新台幣(TWD),1公克,1601.000,1622.000
20211222,新台幣(TWD),1公克,1586.000,1607.000
20211221,新台幣(TWD),1公克,1590.000,1611.000
20211220,新台幣(TWD),1公克,1601.000,1622.000
20211217,新台幣(TWD),1公克,1601.000,1622.000
20211216,新台幣(TWD),1公克,1584.000,1605.000
20211215,新台幣(TWD),1公克,1569.000,1590.000
20211214,新台幣(TWD),1公克,1586.000,1607.000
20211213,新台幣(TWD),1公克,1583.000,1604.000
20211210,新台幣(TWD),1公克,1569.000,1590.000
20211209,新台幣(TWD),1公克,1578.000,1599.000
20211208,新台幣(TWD),1公克,1581.000,1602.000
20211207,新台幣(TWD),1公克,1581.000,1602.000
20211206,新台幣(TWD),1公克,1580.000,1601.000
20211203,新台幣(TWD),1公克,1567.000,1588.000
20211202,新台幣(TWD),1公克,1573.000,1594.000
20211201,新台幣(TWD),1公克,1582.000,1603.000
20211130,新台幣(TWD),1公克,1589.000,1610.000
20211129,新台幣(TWD),1公克,1591.000,1612.000
20211126,新台幣(TWD),1公克,1600.000,1621.000
20211125,新台幣(TWD),1公克,1591.000,1612.000
20211124,新台幣(TWD),1公克,1592.000,1613.000
20211123,新台幣(TWD),1公克,1603.000,1624.000
20211122,新台幣(TWD),1公克,1635.000,1656.000
20211119,新台幣(TWD),1公克,1647.000,1668.000
20211118,新台幣(TWD),1公克,1653.000,1674.000
20211117,新台幣(TWD),1公克,1646.000,1667.000
20211116,新台幣(TWD),1公克,1652.000,1673.000
20211115,新台幣(TWD),1公克,1644.000,1665.000
20211112,新台幣(TWD),1公克,1650.000,1671.000
20211111,新台幣(TWD),1公克,1645.000,1666.000
20211110,新台幣(TWD),1公克,1616.000,1636.000
20211109,新台幣(TWD),1公克,1615.000,1636.000
20211108,新台幣(TWD),1公克,1611.000,1632.000
20211105,新台幣(TWD),1公克,1599.000,1620.000
20211104,新台幣(TWD),1公克,1578.000,1599.000
20211103,新台幣(TWD),1公克,1583.000,1604.000
20211102,新台幣(TWD),1公克,1596.000,1617.000
20211101,新台幣(TWD),1公克,1584.000,1605.000
20211029,新台幣(TWD),1公克,1595.000,1616.000
20211028,新台幣(TWD),1公克,1601.000,1622.000
20211027,新台幣(TWD),1公克,1587.000,1608.000
20211026,新台幣(TWD),1公克,1601.000,1622.000
20211025,新台幣(TWD),1公克,1598.000,1619.000
20211022,新台幣(TWD),1公克,1595.000,1616.000
20211021,新台幣(TWD),1公克,1586.000,1607.000
20211020,新台幣(TWD),1公克,1582.000,1603.000
20211019,新台幣(TWD),1公克,1585.000,1606.000
20211018,新台幣(TWD),1公克,1578.000,1599.000
20211015,新台幣(TWD),1公克,1600.000,1621.000
20211014,新台幣(TWD),1公克,1606.000,1627.000
20211013,新台幣(TWD),1公克,1583.000,1604.000
20211012,新台幣(TWD),1公克,1582.000,1603.000
20211008,新台幣(TWD),1公克,1571.000,1592.000
20211007,新台幣(TWD),1公克,1573.000,1594.000
20211006,新台幣(TWD),1公克,1560.000,1581.000
20211005,新台幣(TWD),1公克,1564.000,1585.000
20211004,新台幣(TWD),1公克,1562.000,1583.000
20211001,新台幣(TWD),1公克,1562.000,1583.000
20210930,新台幣(TWD),1公克,1535.000,1556.000
20210929,新台幣(TWD),1公克,1543.000,1564.000
20210928,新台幣(TWD),1公克,1543.000,1564.000
20210927,新台幣(TWD),1公克,1556.000,1577.000
20210924,新台幣(TWD),1公克,1551.000,1572.000
20210923,新台幣(TWD),1公克,1560.000,1581.000
20210922,新台幣(TWD),1公克,1577.000,1598.000
20210917,新台幣(TWD),1公克,1558.000,1579.000
20210916,新台幣(TWD),1公克,1576.000,1597.000
20210915,新台幣(TWD),1公克,1590.000,1611.000
20210914,新台幣(TWD),1公克,1585.000,1606.000
20210913,新台幣(TWD),1公克,1581.000,1602.000
20210911,新台幣(TWD),1公克,1582.000,1603.000
20210910,新台幣(TWD),1公克,1592.000,1613.000
20210909,新台幣(TWD),1公克,1583.000,1604.000
20210908,新台幣(TWD),1公克,1592.000,1613.000
20210907,新台幣(TWD),1公克,1603.000,1624.000
20210906,新台幣(TWD),1公克,1607.000,1628.000
20210903,新台幣(TWD),1公克,1602.000,1623.000
20210902,新台幣(TWD),1公克,1603.000,1624.000
20210901,新台幣(TWD),1公克,1604.000,1625.000
20210831,新台幣(TWD),1公克,1606.000,1627.000
20210830,新台幣(TWD),1公克,1607.000,1628.000
20210827,新台幣(TWD),1公克,1606.000,1627.000
20210826,新台幣(TWD),1公克,1590.000,1611.000
20210825,新台幣(TWD),1公克,1597.000,1618.000
20210824,新台幣(TWD),1公克,1607.000,1628.000
20210823,新台幣(TWD),1公克,1593.000,1614.000
20210820,新台幣(TWD),1公克,1595.000,1616.000
20210819,新台幣(TWD),1公克,1590.000,1611.000
20210818,新台幣(TWD),1公克,1590.000,1611.000
20210817,新台幣(TWD),1公克,1594.000,1615.000
20210816,新台幣(TWD),1公克,1577.000,1598.000
20210813,新台幣(TWD),1公克,1563.000,1584.000
20210812,新台幣(TWD),1公克,1557.000,1578.000
20210811,新台幣(TWD),1公克,1537.000,1558.000
20210810,新台幣(TWD),1公克,1541.000,1562.000
20210809,新台幣(TWD),1公克,1550.000,1571.000
20210806,新台幣(TWD),1公克,1595.000,1616.000
20210805,新台幣(TWD),1公克,1604.000,1625.000
20210804,新台幣(TWD),1公克,1610.000,1631.000
20210803,新台幣(TWD),1公克,1613.000,1634.000
20210802,新台幣(TWD),1公克,1611.000,1632.000
20210730,新台幣(TWD),1公克,1631.000,1652.000
20210729,新台幣(TWD),1公克,1621.000,1642.000
20210728,新台幣(TWD),1公克,1611.000,1632.000
20210727,新台幣(TWD),1公克,1605.000,1626.000
20210726,新台幣(TWD),1公克,1620.000,1641.000
20210723,新台幣(TWD),1公克,1615.000,1636.000
20210722,新台幣(TWD),1公克,1608.000,1629.000
20210721,新台幣(TWD),1公克,1621.000,1642.000
20210720,新台幣(TWD),1公克,1625.000,1646.000
20210719,新台幣(TWD),1公克,1614.000,1635.000
20210716,新台幣(TWD),1公克,1628.000,1649.000
20210715,新台幣(TWD),1公克,1630.000,1651.000
20210714,新台幣(TWD),1公克,1617.000,1638.000
20210713,新台幣(TWD),1公克,1617.000,1638.000
20210712,新台幣(TWD),1公克,1609.000,1630.000
20210709,新台幣(TWD),1公克,1612.000,1633.000
20210708,新台幣(TWD),1公克,1610.000,1631.000
20210707,新台幣(TWD),1公克,1609.000,1630.000
20210706,新台幣(TWD),1公克,1608.000,1629.000
20210705,新台幣(TWD),1公克,1593.000,1614.000
20210702,新台幣(TWD),1公克,1587.000,1608.000
20210701,新台幣(TWD),1公克,1582.000,1603.000
20210630,新台幣(TWD),1公克,1564.000,1585.000
20210629,新台幣(TWD),1公克,1581.000,1602.000
20210628,新台幣(TWD),1公克,1587.000,1608.000
20210625,新台幣(TWD),1公克,1584.000,1605.000
20210624,新台幣(TWD),1公克,1587.000,1608.000
20210623,新台幣(TWD),1公克,1591.000,1612.000
20210622,新台幣(TWD),1公克,1589.000,1610.000
20210621,新台幣(TWD),1公克,1585.000,1606.000
20210618,新台幣(TWD),1公克,1583.000,1604.000
20210617,新台幣(TWD),1公克,1605.000,1626.000
20210616,新台幣(TWD),1公克,1642.000,1663.000
20210615,新台幣(TWD),1公克,1648.000,1669.000
20210611,新台幣(TWD),1公克,1675.000,1696.000
20210610,新台幣(TWD),1公克,1663.000,1684.000
20210609,新台幣(TWD),1公克,1673.000,1694.000
20210608,新台幣(TWD),1公克,1677.000,1698.000
20210607,新台幣(TWD),1公克,1664.000,1685.000
20210604,新台幣(TWD),1公克,1653.000,1674.000
20210603,新台幣(TWD),1公克,1673.000,1694.000
20210602,新台幣(TWD),1公克,1671.000,1692.000
20210601,新台幣(TWD),1公克,1686.000,1707.000
20210531,新台幣(TWD),1公克,1678.000,1699.000
20210528,新台幣(TWD),1公克,1672.000,1693.000
20210527,新台幣(TWD),1公克,1683.000,1704.000
20210526,新台幣(TWD),1公克,1690.000,1711.000
20210525,新台幣(TWD),1公克,1677.000,1698.000
20210524,新台幣(TWD),1公克,1677.000,1698.000
20210521,新台幣(TWD),1公克,1668.000,1689.000
20210520,新台幣(TWD),1公克,1671.000,1692.000
20210519,新台幣(TWD),1公克,1668.000,1689.000
20210518,新台幣(TWD),1公克,1667.000,1688.000
20210517,新台幣(TWD),1公克,1658.000,1679.000
20210514,新台幣(TWD),1公克,1638.000,1659.000
20210513,新台幣(TWD),1公克,1625.000,1646.000
20210512,新台幣(TWD),1公克,1635.000,1656.000
20210511,新台幣(TWD),1公克,1635.000,1656.000
20210510,新台幣(TWD),1公克,1626.000,1647.000
20210507,新台幣(TWD),1公克,1619.000,1640.000
20210506,新台幣(TWD),1公克,1602.000,1623.000
20210505,新台幣(TWD),1公克,1585.000,1606.000
20210504,新台幣(TWD),1公克,1592.000,1613.000
20210503,新台幣(TWD),1公克,1588.000,1609.000
20210429,新台幣(TWD),1公克,1585.000,1606.000
20210428,新台幣(TWD),1公克,1575.000,1596.000
20210427,新台幣(TWD),1公克,1586.000,1607.000
20210426,新台幣(TWD),1公克,1587.000,1608.000
20210423,新台幣(TWD),1公克,1600.000,1621.000
20210422,新台幣(TWD),1公克,1607.000,1628.000
20210421,新台幣(TWD),1公克,1605.000,1626.000
20210420,新台幣(TWD),1公克,1587.000,1608.000
20210419,新台幣(TWD),1公克,1601.000,1622.000
20210416,新台幣(TWD),1公克,1593.000,1614.000
20210415,新台幣(TWD),1公克,1583.000,1604.000
20210414,新台幣(TWD),1公克,1584.000,1605.000
20210413,新台幣(TWD),1公克,1563.000,1584.000
20210412,新台幣(TWD),1公克,1581.000,1602.000
20210409,新台幣(TWD),1公克,1584.000,1605.000
20210408,新台幣(TWD),1公克,1580.000,1601.000
20210407,新台幣(TWD),1公克,1575.000,1596.000
20210406,新台幣(TWD),1公克,1571.000,1592.000
20210401,新台幣(TWD),1公克,1563.000,1584.000
20210331,新台幣(TWD),1公克,1536.000,1557.000
20210330,新台幣(TWD),1公克,1551.000,1572.000
20210329,新台幣(TWD),1公克,1572.000,1593.000
20210326,新台幣(TWD),1公克,1578.000,1599.000
20210325,新台幣(TWD),1公克,1578.000,1599.000
20210324,新台幣(TWD),1公克,1576.000,1597.000
20210323,新台幣(TWD),1公克,1578.000,1599.000
20210322,新台幣(TWD),1公克,1573.000,1594.000
20210319,新台幣(TWD),1公克,1582.000,1603.000
20210318,新台幣(TWD),1公克,1581.000,1602.000
20210317,新台幣(TWD),1公克,1567.000,1588.000
20210316,新台幣(TWD),1公克,1560.000,1581.000
20210315,新台幣(TWD),1公克,1554.000,1575.000
20210312,新台幣(TWD),1公克,1537.000,1558.000
20210311,新台幣(TWD),1公克,1563.000,1584.000
20210310,新台幣(TWD),1公克,1550.000,1571.000
20210309,新台幣(TWD),1公克,1534.000,1554.000
20210308,新台幣(TWD),1公克,1528.000,1549.000
20210305,新台幣(TWD),1公克,1510.000,1531.000
20210304,新台幣(TWD),1公克,1527.000,1548.000
20210303,新台幣(TWD),1公克,1535.000,1556.000
20210302,新台幣(TWD),1公克,1531.000,1552.000
20210226,新台幣(TWD),1公克,1565.000,1586.000
20210225,新台幣(TWD),1公克,1590.000,1612.000
20210224,新台幣(TWD),1公克,1606.000,1628.000
20210223,新台幣(TWD),1公克,1611.000,1633.000
20210222,新台幣(TWD),1公克,1594.000,1616.000
20210220,新台幣(TWD),1公克,1589.000,1611.000
20210219,新台幣(TWD),1公克,1580.000,1601.000
20210218,新台幣(TWD),1公克,1587.000,1609.000
20210217,新台幣(TWD),1公克,1598.000,1620.000
20210209,新台幣(TWD),1公克,1643.000,1665.000
20210208,新台幣(TWD),1公克,1623.000,1645.000
20210205,新台幣(TWD),1公克,1605.000,1627.000
20210204,新台幣(TWD),1公克,1628.000,1650.000
20210203,新台幣(TWD),1公克,1638.000,1660.000
20210202,新台幣(TWD),1公克,1651.000,1673.000
20210201,新台幣(TWD),1公克,1665.000,1687.000
20210129,新台幣(TWD),1公克,1650.000,1672.000
20210128,新台幣(TWD),1公克,1642.000,1664.000
20210127,新台幣(TWD),1公克,1650.000,1672.000
20210126,新台幣(TWD),1公克,1659.000,1681.000
20210125,新台幣(TWD),1公克,1654.000,1676.000
20210122,新台幣(TWD),1公克,1659.000,1681.000
20210121,新台幣(TWD),1公克,1670.000,1692.000
20210120,新台幣(TWD),1公克,1656.000,1678.000
20210119,新台幣(TWD),1公克,1643.000,1665.000
20210118,新台幣(TWD),1公克,1641.000,1663.000
20210115,新台幣(TWD),1公克,1651.000,1673.000
20210114,新台幣(TWD),1公克,1643.000,1665.000
20210113,新台幣(TWD),1公克,1658.000,1680.000
20210112,新台幣(TWD),1公克,1661.000,1683.000
20210111,新台幣(TWD),1公克,1650.000,1672.000
20210108,新台幣(TWD),1公克,1704.000,1727.000
20210107,新台幣(TWD),1公克,1718.000,1741.000
20210106,新台幣(TWD),1公克,1737.000,1759.000
20210105,新台幣(TWD),1公克,1730.000,1752.000
20210104,新台幣(TWD),1公克,1721.000,1743.000
